Attendance,Home Score,Home 1st Q,Home FG%,Home 3pt%,Home FT%,Away Score,Away 1st Q,Away FG%,Away 3pt%,Away FT%
19001,108,34,48.2,33.3,63.0,86,9,38.5,18.5,78.6
18306,118,27,50.6,25.0,74.1,91,18,38.6,22.2,88.2
15680,111,27,41.6,25.0,81.1,117,28,48.9,28.1,95.2
13755,113,24,38.4,37.1,89.5,107,25,38.6,22.9,80.8
17214,90,25,40.4,24.2,76.9,112,28,47.3,34.6,83.3
19432,110,27,53.1,38.5,73.7,129,38,57.1,44.8,57.1
14035,106,24,43.9,31.4,69.2,105,20,39.3,31.4,82.8
19842,114,34,52.4,48.0,69.6,112,28,45.7,35.7,66.7
18447,103,30,45.2,24.1,83.3,107,31,47.0,42.1,75.0
18354,133,32,50.5,41.9,84.8,120,36,46.0,30.6,81.0
14273,98,36,45.6,41.2,75.0,115,34,48.8,40.5,88.9
17852,95,22,39.1,17.9,69.6,105,27,44.9,41.3,85.7
20254,107,32,49.4,40.0,81.3,104,30,45.3,31.9,84.6
16867,107,24,43.5,26.7,86.4,97,31,42.2,28.1,80.0
14409,106,25,43.0,35.7,68.8,98,35,37.1,25.0,81.0
18662,104,23,47.0,30.8,60.0,112,30,48.9,50.0,60.0
19432,116,38,52.8,48.4,70.0,101,25,44.2,36.8,68.8
20923,77,17,38.3,25.0,64.3,133,35,53.8,51.2,73.3
17794,88,16,40.5,20.0,77.8,111,27,44.3,40.0,75.0
19359,113,30,47.0,30.3,83.3,105,27,44.0,43.8,81.8
17113,98,30,37.1,24.1,80.6,121,34,43.5,33.3,71.8
14705,108,20,43.9,31.0,54.2,116,28,53.2,40.0,87.0
19800,99,30,41.5,34.1,85.7,104,25,41.4,38.5,85.0
17834,110,23,52.8,35.7,91.7,97,18,43.5,31.0,73.7
18602,107,24,47.3,50.0,85.7,119,27,48.3,35.3,85.2
20199,116,38,44.3,40.5,65.7,102,29,48.8,42.9,52.4
14645,109,29,53.9,50.0,77.3,101,33,42.0,33.3,70.8
18624,113,28,48.9,30.8,68.4,100,21,44.8,30.8,73.7
17155,108,31,43.8,41.7,81.8,92,18,37.5,33.3,66.7
18164,89,33,44.7,28.6,100.0,108,26,45.5,43.2,80.0
18203,122,30,50.6,38.1,71.8,113,22,51.2,27.6,63.3
19334,101,24,42.7,28.6,84.0,76,19,36.0,28.6,80.0
12088,119,29,50.0,36.0,80.0,123,21,52.9,33.3,78.8
15278,105,26,50.6,32.1,78.3,99,22,50.0,33.3,94.1
19596,116,30,41.9,44.2,90.5,108,24,45.8,28.0,80.6
18997,108,27,45.6,43.8,60.0,105,23,44.7,32.4,76.9
18055,111,27,49.4,31.0,66.7,104,29,43.7,40.0,85.7
17676,111,29,49.4,61.9,84.2,86,20,40.2,28.6,85.7
17812,99,23,44.2,28.0,84.2,123,36,52.1,48.3,75.0
17070,113,29,47.3,40.0,75.0,97,23,41.8,25.6,66.7
20409,125,28,50.5,36.4,72.4,130,24,45.2,28.9,100.0
19432,113,39,47.3,29.4,81.0,106,23,43.6,40.7,92.9
13997,108,37,41.2,32.1,78.4,107,25,46.5,38.2,66.7
20376,124,29,54.9,42.9,75.0,127,31,51.4,50.0,86.0
14450,118,25,46.4,22.2,80.0,114,28,48.3,30.2,63.0
16282,92,15,41.5,33.3,66.7,83,26,36.8,27.3,81.3
19643,114,28,46.7,35.3,74.4,107,26,46.2,33.3,71.4
18306,111,40,52.6,50.0,71.4,84,15,37.7,36.4,58.3
15770,141,35,58.1,50.0,68.8,130,31,53.8,40.9,77.8
19596,93,22,47.6,23.1,69.2,113,31,48.4,32.1,84.2
18055,126,29,49.4,44.1,84.4,111,24,53.8,31.3,55.6
18354,125,38,57.8,45.5,79.2,87,27,35.7,32.3,70.8
20201,97,24,41.5,33.3,78.3,91,26,47.9,55.6,65.0
13265,99,25,40.2,37.0,83.3,89,21,39.7,15.2,66.7
18624,129,42,48.4,48.7,90.0,108,19,41.9,42.1,62.5
17622,124,33,47.1,41.7,80.0,126,16,48.0,35.3,64.5
19432,102,16,40.2,36.1,90.5,114,27,42.6,29.3,78.6
13232,125,27,52.4,35.5,83.9,118,31,54.4,37.9,56.3
20337,101,34,40.9,25.0,74.1,113,24,44.2,40.0,87.5
16313,97,28,42.2,27.6,76.0,100,29,43.9,38.5,72.2
17583,125,38,46.9,34.1,80.0,130,42,45.8,37.5,75.0
19520,109,39,50.6,32.4,93.3,98,32,41.1,36.8,58.6
19458,128,28,51.1,48.1,90.5,122,23,55.1,58.1,85.7
20011,96,14,47.2,45.8,85.0,89,14,31.5,24.1,92.9
19641,100,22,42.4,24.1,83.3,128,32,53.3,41.2,66.7
17078,113,33,48.8,33.3,71.4,104,33,41.5,27.3,73.9
16777,97,29,53.3,21.7,70.6,105,36,47.9,35.1,88.0
18354,93,28,43.8,33.3,84.6,98,21,43.0,20.7,85.7
14244,107,28,45.6,32.1,80.0,99,30,40.6,20.0,73.7
18203,110,30,46.7,40.9,70.8,104,25,50.7,52.0,68.2
13955,144,42,55.7,40.0,90.9,127,23,55.3,48.3,76.0
19432,105,36,46.6,40.0,64.7,128,29,56.0,40.7,75.0
16646,110,28,46.0,35.3,78.3,99,26,41.6,31.3,68.2
20409,128,33,50.9,41.9,70.0,110,23,48.4,30.6,61.1
19935,113,31,41.7,25.7,77.4,120,34,46.9,29.0,90.5
15535,96,28,40.7,36.1,76.5,102,33,41.8,28.6,69.6
19520,95,23,42.4,33.3,81.3,86,23,39.8,20.0,64.3
15051,104,27,44.3,40.0,80.0,107,25,50.0,36.0,66.7
18437,110,32,40.4,25.7,72.4,128,28,52.2,33.3,85.2
18203,121,31,48.3,38.1,81.8,96,22,44.7,36.4,75.0
12417,132,38,50.0,37.0,86.7,105,23,42.2,36.8,65.2
18055,102,25,37.2,32.4,83.9,97,23,39.0,28.6,74.2
17486,123,29,56.3,39.1,94.1,96,32,40.8,29.7,71.4
16030,127,29,50.6,37.0,84.6,131,37,54.7,50.0,87.1
19596,110,30,43.5,38.7,88.9,93,22,45.6,28.0,77.8
15630,91,19,39.8,18.2,61.9,92,21,41.8,19.4,76.9
17732,115,33,48.4,41.2,68.4,110,32,46.7,32.5,56.5
16489,118,35,46.8,37.5,82.1,110,24,43.4,32.5,69.4
15764,126,34,55.6,41.4,77.8,118,33,46.5,40.5,76.7
17138,90,24,38.2,38.7,58.8,129,31,64.9,63.2,81.0
15179,110,16,51.1,40.0,66.7,99,25,48.2,43.5,58.3
20424,131,38,53.4,50.0,88.0,109,33,43.0,32.3,80.6
19800,99,24,40.9,23.3,76.2,96,34,47.5,45.0,68.8
18624,103,37,44.7,38.5,85.7,111,26,42.7,40.7,81.8
15883,123,26,43.7,27.3,82.8,129,27,48.9,41.7,60.7
18065,93,27,44.0,31.6,70.0,96,22,45.9,32.0,80.0
17341,123,33,50.6,39.4,80.0,115,31,46.7,45.2,66.7
18055,136,34,55.3,47.3,76.2,118,28,53.6,33.3,78.3
18306,108,24,39.8,38.1,81.8,103,21,40.0,32.3,94.4
19412,99,17,46.7,42.3,90.0,92,18,42.3,33.3,89.5
17583,113,33,41.9,38.2,66.7,132,36,50.0,40.6,63.0
19600,101,21,38.7,23.1,58.8,99,33,35.4,33.3,76.7
17528,125,30,56.6,30.0,80.6,121,27,46.7,35.7,75.8
15812,98,25,44.0,50.0,71.4,86,21,39.0,23.5,63.6
19800,126,34,52.7,29.0,80.8,110,28,47.6,37.5,76.7
19080,107,39,48.8,29.6,70.8,114,28,47.3,34.5,75.0
13302,106,27,45.8,51.6,70.6,114,37,53.7,42.3,83.3
18624,107,22,38.5,29.4,75.0,120,35,51.2,40.0,78.6
20436,90,19,44.0,29.4,73.1,80,20,32.6,24.2,66.7
17708,124,29,52.9,57.6,72.2,98,21,39.8,28.6,83.9
16369,102,24,37.5,36.6,72.4,99,32,46.3,50.0,90.0
19127,90,26,40.2,31.3,55.6,120,33,55.3,51.6,58.8
18997,112,34,46.7,25.0,72.0,104,34,43.1,29.6,50.0
16571,132,34,57.6,50.0,94.1,111,26,42.3,29.0,80.0
16571,149,33,50.5,36.1,88.9,146,29,47.8,31.4,75.8
20691,126,29,54.1,33.3,74.3,101,30,38.9,25.0,89.5
19600,94,21,38.2,31.3,69.6,87,8,36.9,20.9,72.7
18055,108,28,38.9,35.2,71.4,101,26,47.7,41.7,63.6
19596,120,28,45.9,34.9,93.8,116,31,45.7,35.9,64.3
18306,106,32,45.2,32.4,61.1,107,26,47.2,36.0,63.6
16532,95,21,41.0,34.5,63.0,98,28,39.6,26.1,80.0
17923,105,27,44.3,30.0,83.3,89,25,36.8,25.7,92.3
16643,122,25,42.0,45.2,72.7,117,36,46.8,23.1,82.1
18846,91,17,41.4,35.7,71.9,115,28,50.6,51.6,68.4
18624,119,29,50.0,33.3,80.0,103,26,43.2,25.0,73.1
15310,111,38,47.1,37.0,63.6,103,31,48.3,17.6,87.5
19432,92,29,45.2,30.4,64.3,112,28,55.1,50.0,88.2
18203,112,25,47.8,36.0,77.3,114,35,49.4,51.9,66.7
19596,129,36,45.2,35.0,86.1,127,36,53.8,78.3,79.3
19707,121,25,47.1,28.9,70.6,118,27,41.7,35.3,71.4
18997,99,20,49.3,33.3,68.2,107,26,46.7,53.8,64.3
19812,95,24,36.1,27.6,81.0,109,22,44.9,18.8,67.6
18055,113,22,45.4,31.8,64.7,109,22,43.9,30.0,66.7
18624,121,32,41.7,34.1,85.0,114,25,41.3,37.5,79.3
19596,101,25,40.9,25.0,76.2,127,32,55.3,39.4,74.1
18306,117,24,55.4,44.8,52.2,96,24,39.3,39.1,65.4
17534,106,27,46.3,37.8,94.7,95,28,45.8,27.3,76.9
16755,120,32,45.8,38.9,81.8,122,26,50.5,54.2,76.5
19902,104,31,51.8,41.4,50.0,106,23,46.8,43.3,82.6
15026,121,31,50.6,47.2,77.8,129,32,55.4,48.1,72.7
14309,134,22,49.0,40.4,72.2,132,29,44.3,48.4,76.7
21852,94,18,41.1,26.1,62.5,119,29,49.5,34.4,84.2
16424,95,21,50.0,22.7,75.0,87,9,35.5,31.0,80.0
20340,122,33,48.1,34.3,84.2,119,30,46.7,44.4,76.7
18408,111,34,46.7,31.3,77.3,103,26,38.9,45.0,65.2
19068,127,39,50.0,42.9,82.6,118,27,47.1,33.3,66.7
18055,127,35,47.7,40.0,77.1,113,24,46.9,38.7,80.6
18058,112,24,45.2,34.4,81.0,96,28,37.1,41.9,68.8
17583,117,32,44.6,34.5,81.0,116,34,51.1,40.0,69.6
19596,109,28,42.5,29.5,40.0,110,27,36.2,32.5,91.3
18306,97,29,38.4,31.4,74.1,114,22,50.0,37.1,83.3
20409,92,22,40.0,30.0,83.3,101,20,46.8,36.4,76.0
18846,116,25,47.3,34.6,86.4,87,29,29.5,35.3,79.2
19411,100,33,41.0,33.3,70.0,87,17,39.8,14.8,85.0
17923,125,32,60.9,26.3,70.0,88,21,37.4,25.0,91.7
18978,120,27,44.9,34.4,55.3,123,42,47.0,45.7,65.0
18364,114,26,45.8,17.4,81.5,112,29,47.4,46.9,69.7
19617,118,29,52.7,32.3,75.0,94,30,38.3,35.1,86.4
20076,102,31,45.9,34.5,82.4,99,23,44.9,29.6,55.0
18055,102,29,43.3,31.0,93.8,118,36,53.7,35.0,69.2
18997,107,23,41.4,36.7,68.6,118,28,44.0,31.6,94.1
17918,129,29,49.0,41.2,87.5,115,23,48.1,42.9,68.6
17197,130,27,51.6,35.1,87.5,126,29,52.2,41.9,79.2
17555,104,20,44.6,32.1,76.5,108,30,43.2,34.8,78.6
16460,111,23,43.9,27.0,60.0,108,26,47.1,21.7,79.3
17794,103,26,47.4,26.9,82.8,112,29,50.0,44.4,88.9
18306,129,39,54.8,44.4,78.6,97,17,37.2,46.9,81.8
14975,118,16,53.8,37.9,64.3,122,36,55.3,51.4,76.9
19797,105,27,42.9,29.0,81.8,115,30,50.0,48.0,82.1
19068,111,30,43.9,45.0,78.9,122,32,50.6,26.1,90.3
17761,109,31,47.1,29.2,91.7,107,21,42.4,25.8,91.3
19600,104,19,41.1,33.3,78.6,113,30,40.4,33.3,80.6
19800,95,14,37.0,27.3,90.0,89,20,41.3,35.0,88.9
20380,105,27,45.7,35.9,77.3,103,28,43.0,23.7,66.7
19393,129,31,59.0,54.5,76.0,95,20,35.4,18.6,70.4
18997,121,37,48.0,34.1,60.0,114,31,48.4,38.2,75.0
17923,116,33,50.0,45.8,72.4,108,25,43.2,40.6,68.4
14694,125,36,49.4,45.8,90.9,100,23,41.3,28.6,73.7
18354,120,17,49.5,53.8,88.9,111,23,48.9,32.4,70.0
18055,113,27,44.3,43.9,73.3,101,18,46.3,24.0,63.3
18203,122,32,44.7,25.0,68.6,102,21,41.9,36.8,76.5
14904,123,27,51.7,56.0,90.5,114,22,46.2,32.1,82.6
16906,109,27,43.5,34.6,86.7,132,31,54.8,50.0,81.3
19800,122,26,54.9,35.0,71.4,116,24,43.3,28.1,79.3
17534,121,35,59.5,37.0,65.4,98,27,38.0,36.4,76.2
19520,115,28,46.3,35.3,65.2,108,32,45.2,40.7,72.2
17583,108,25,38.3,33.3,75.0,113,26,43.3,28.1,86.7
17868,113,28,46.2,20.0,70.6,119,41,48.3,46.2,69.7
19432,92,23,45.3,41.9,84.6,117,22,51.2,51.6,76.5
16955,84,26,35.6,18.8,73.7,122,42,46.3,40.0,88.9
15324,114,35,46.7,37.9,73.9,98,29,42.1,32.3,61.5
16890,126,39,50.5,51.6,76.2,121,29,52.9,43.5,70.4
19013,84,16,41.9,35.0,62.5,112,32,57.9,42.3,72.2
18624,115,25,59.2,40.0,86.7,102,21,47.6,30.4,71.4
14109,94,24,46.2,22.2,85.7,101,26,43.4,40.0,59.1
15226,127,32,45.3,32.4,83.3,132,44,54.1,45.8,75.9
18997,100,25,41.6,25.9,59.4,107,25,38.1,22.6,64.5
18354,125,38,55.3,48.1,90.0,107,19,44.8,20.0,79.3
17583,113,30,50.0,41.9,66.7,117,30,46.1,35.9,70.0
19596,134,34,52.0,37.8,93.3,135,22,45.5,38.9,85.7
19432,91,20,39.0,52.4,94.1,117,23,51.2,40.0,86.4
14355,120,31,51.6,34.6,73.9,103,40,47.7,33.3,52.6
19600,115,31,48.4,31.0,72.0,109,24,42.9,27.8,78.9
16683,100,26,45.2,20.8,73.3,109,26,45.6,38.2,92.3
21284,116,30,51.6,42.9,76.9,119,18,52.7,32.1,70.6
18624,114,34,43.8,46.7,81.8,93,23,38.6,25.0,73.7
17632,144,43,55.0,35.0,71.4,112,14,43.5,34.1,68.6
14764,111,19,53.2,47.4,74.1,121,38,51.2,41.7,78.1
18997,112,25,43.9,29.7,75.0,119,39,37.4,29.7,82.9
19393,109,28,43.2,29.0,85.7,111,28,42.6,32.0,88.5
19861,123,31,46.1,35.9,75.0,110,26,47.6,37.9,80.8
17255,105,31,47.6,44.0,80.0,110,13,47.6,33.3,78.1
20656,106,31,47.0,23.1,66.7,100,26,43.2,29.0,65.2
19432,98,26,40.9,36.4,77.8,133,28,58.0,51.9,86.2
18028,116,34,49.4,37.8,81.5,123,27,51.2,45.2,80.6
18354,108,27,49.3,31.8,82.9,88,25,37.8,39.3,78.9
19577,110,30,45.7,32.1,75.0,101,30,46.4,34.2,83.3
17583,123,29,47.4,55.6,78.6,127,43,50.5,44.7,85.7
18978,108,35,46.1,34.4,71.4,86,19,36.8,22.7,60.7
16616,106,18,43.0,36.4,78.3,96,28,37.1,29.0,72.4
19265,100,21,46.6,38.9,73.3,117,28,50.6,34.8,77.3
16630,106,23,47.3,41.7,76.9,82,16,35.6,14.7,55.6
18203,98,25,43.2,40.0,63.2,116,28,43.6,27.0,81.8
19800,121,37,51.8,51.5,94.1,105,35,45.7,23.5,75.0
13110,113,30,51.8,40.0,89.5,119,29,48.4,28.0,70.6
13107,107,31,49.4,28.1,82.4,119,25,54.4,35.0,81.3
18624,116,34,50.5,37.5,83.3,95,22,40.5,26.2,90.9
14624,114,31,55.7,35.3,69.0,95,27,44.9,33.3,83.3
17341,114,32,46.9,36.0,81.3,102,34,41.9,37.8,69.6
18055,125,33,50.0,46.8,79.4,113,35,47.3,24.1,85.7
20354,97,33,41.9,26.7,70.8,107,25,43.6,27.6,63.0
19026,111,30,47.1,35.5,69.0,101,30,40.4,30.4,81.5
15724,111,29,45.9,29.4,55.0,95,25,36.8,35.1,75.0
19432,115,16,53.9,44.8,87.0,123,38,53.8,38.5,78.9
20446,132,32,55.7,51.5,68.0,115,29,50.0,43.8,81.0
19800,104,28,46.3,31.3,74.1,101,31,46.0,37.0,68.8
19600,99,18,45.8,25.8,60.0,103,24,47.1,33.3,70.6
18203,117,23,50.6,40.0,73.1,119,29,42.2,35.5,80.0
13977,115,35,51.1,40.0,78.9,111,32,47.5,51.7,69.0
19596,122,31,51.0,31.1,83.3,95,25,39.8,25.0,90.5
15275,128,33,51.6,46.7,85.7,109,24,40.0,36.4,86.2
18624,135,29,56.8,43.8,87.5,108,23,42.9,32.1,63.6
18039,123,25,54.0,48.1,76.2,106,20,43.0,29.6,77.4
14531,116,23,45.3,33.3,76.9,100,38,36.4,17.1,88.0
18055,109,29,37.6,37.5,84.4,116,26,48.4,29.6,83.3
13944,96,22,41.1,24.2,70.0,86,18,36.1,40.7,65.2
15058,140,25,54.8,41.4,92.3,124,38,47.7,46.7,86.7
19596,104,26,42.9,35.3,71.1,94,26,42.9,28.0,71.4
18306,106,19,48.8,36.4,85.7,93,32,39.8,39.4,70.0
19393,124,30,56.6,42.3,90.5,112,29,46.2,40.9,89.5
18997,113,20,56.1,34.8,72.2,100,24,45.3,31.8,57.1
19600,115,28,47.9,46.2,62.5,99,24,40.4,35.3,88.2
15742,121,37,50.5,39.3,76.9,100,25,43.7,25.0,69.2
18354,154,33,56.6,84.2,89.7,147,23,50.9,42.9,66.7
16916,112,34,51.2,40.9,75.0,102,21,42.7,28.9,87.5
20487,121,30,51.7,33.3,74.1,123,32,55.6,48.0,77.8
17996,113,40,48.8,54.5,75.0,106,26,44.9,32.5,76.5
19812,106,22,44.3,35.9,87.5,121,31,52.1,46.2,100.0
19800,122,28,45.7,31.4,62.5,105,35,42.0,36.7,66.7
18978,115,26,46.1,41.7,84.6,119,28,45.4,34.2,75.0
18055,141,42,51.7,38.5,90.6,113,22,44.9,27.3,92.3
19393,127,37,55.9,37.5,88.9,96,27,40.0,43.3,68.8
18306,113,32,39.6,35.7,68.8,95,26,35.9,18.5,66.7
19596,146,43,57.6,46.2,84.6,109,17,44.9,45.0,88.2
16540,104,24,48.6,50.0,79.3,109,37,43.5,43.2,86.4
19600,112,30,50.0,48.4,70.8,108,34,48.1,31.0,77.8
18846,105,19,42.9,28.9,91.7,103,19,42.2,25.0,67.9
18203,122,23,46.2,47.8,86.2,112,31,45.8,32.3,70.0
16384,110,27,43.0,28.2,79.2,106,29,46.0,20.8,87.5
15246,102,31,41.3,30.8,72.0,93,23,38.6,32.3,68.2
18306,110,29,43.2,35.6,72.0,102,19,41.2,28.0,88.2
17853,104,35,41.4,37.8,66.7,97,29,40.9,33.3,59.1
18596,105,24,43.0,32.3,70.0,108,36,46.0,30.0,73.3
16919,138,21,45.8,43.2,61.1,140,36,47.1,36.1,80.6
16292,114,32,40.6,31.6,80.0,133,35,53.3,36.7,72.7
16982,116,18,48.2,37.5,89.3,109,26,44.2,23.8,85.2
20340,114,29,41.8,42.1,75.9,119,25,45.5,42.2,83.3
19520,116,34,55.6,40.9,85.0,113,32,45.5,35.3,95.5
18997,95,24,39.6,20.6,59.3,101,32,42.7,38.1,73.9
16247,109,27,43.0,34.2,88.0,102,25,40.7,30.6,73.9
18055,112,24,44.0,37.5,90.9,94,29,50.7,45.5,54.5
18354,93,24,46.3,35.0,83.3,108,28,46.7,36.1,81.8
18306,100,27,38.8,32.4,72.2,94,31,38.9,30.6,81.3
17583,115,24,49.4,38.5,79.2,107,27,40.2,32.3,79.3
15283,117,36,47.7,50.0,70.8,121,32,43.8,32.0,75.0
15698,131,38,51.7,48.0,75.0,97,19,42.1,29.6,50.0
20265,149,40,59.8,48.8,85.7,107,27,38.9,34.8,82.9
15045,142,25,62.2,48.6,75.0,126,29,45.7,28.1,75.6
17626,124,30,50.0,43.6,61.1,86,23,41.9,23.5,75.0
19896,111,38,45.7,41.2,81.3,142,51,60.0,53.8,70.0
18997,107,19,46.3,30.8,67.6,100,18,40.2,29.0,70.8
14019,120,26,47.8,40.0,80.0,115,34,50.0,35.9,53.8
14921,101,20,38.9,32.3,68.0,111,28,47.6,35.3,86.4
18624,117,30,50.0,46.7,84.6,108,36,44.6,24.1,90.5
18055,142,30,42.9,32.9,85.3,145,34,51.9,44.4,77.3
20214,101,35,43.0,35.7,75.0,105,20,49.4,43.3,83.3
19089,129,30,52.8,55.2,82.6,112,26,47.4,31.6,84.2
19596,147,31,48.0,49.0,80.6,140,39,48.0,51.4,81.8
15535,109,22,45.9,45.5,64.3,129,31,51.2,33.3,81.1
19078,101,20,43.5,25.9,70.0,100,30,44.8,41.4,83.3
15431,114,20,44.8,28.9,86.2,95,25,44.3,33.3,46.2
16007,96,25,40.2,31.0,75.0,120,28,52.9,52.9,90.9
19800,111,32,50.0,25.0,72.0,109,20,42.9,30.0,77.8
17289,135,28,52.1,50.0,75.0,105,30,47.3,35.7,63.6
18203,128,39,39.4,40.7,66.7,138,27,50.5,47.5,90.5
18624,122,35,51.2,44.7,77.3,116,24,44.6,45.7,90.0
17228,98,30,42.7,39.4,83.3,93,17,50.6,34.5,26.3
17840,115,32,50.0,38.5,78.6,117,25,45.4,41.3,66.7
17222,113,31,44.0,26.9,84.2,116,28,50.0,45.8,79.3
18306,115,29,51.8,35.1,93.3,99,20,41.4,29.2,76.9
19598,128,32,46.6,32.4,80.8,112,29,48.8,32.0,81.5
19068,94,25,36.5,16.0,80.0,112,28,48.8,24.3,70.4
20646,115,25,46.9,34.4,71.8,117,33,44.1,38.7,88.5
19278,135,39,54.5,47.1,85.2,115,26,44.8,33.3,78.8
15377,101,30,43.9,34.5,76.0,103,26,44.9,40.0,72.2
18846,108,24,47.3,43.8,66.7,118,33,55.3,40.0,80.0
17508,111,24,49.4,33.3,79.2,99,23,42.0,24.3,80.0
19800,119,23,48.9,47.2,87.5,90,19,42.5,34.5,80.0
16626,105,36,43.5,29.3,92.9,113,28,44.3,37.5,92.0
20926,103,30,39.3,44.4,80.8,117,31,57.0,40.6,60.9
18055,138,26,42.0,36.8,80.6,134,39,52.1,27.0,80.0
19520,124,37,56.2,40.5,81.8,102,25,48.6,34.5,84.6
15015,120,34,47.0,51.9,100.0,95,26,40.2,34.3,68.0
18354,95,26,46.4,42.1,52.9,103,38,45.9,52.4,58.3
14607,116,29,42.9,25.0,80.0,114,31,46.5,30.8,68.8
19493,109,16,44.8,30.4,75.0,127,34,54.2,51.7,81.5
19432,88,18,35.6,22.2,69.0,104,31,47.4,50.0,77.3
16229,101,29,45.6,34.8,77.8,87,17,40.3,32.4,77.8
17963,116,35,46.2,37.5,90.9,106,26,41.4,35.0,58.8
16611,103,31,45.3,30.0,69.6,122,28,50.5,37.9,90.5
14233,123,29,50.0,37.1,83.3,94,23,41.9,40.0,54.5
17794,85,28,37.5,25.7,58.8,105,21,52.7,34.6,69.2
18624,107,33,49.4,40.0,90.0,99,23,41.9,31.4,88.9
20313,121,30,48.9,34.8,81.8,93,26,36.0,26.2,76.9
18306,104,28,39.6,21.2,80.6,109,29,50.0,44.4,73.3
18997,111,24,50.0,25.0,57.9,130,29,51.0,43.2,73.7
19800,120,29,44.0,40.0,68.6,105,34,45.1,33.3,72.7
18203,123,25,50.6,47.8,78.8,114,25,45.3,27.8,81.8
19466,106,26,46.9,29.4,69.0,98,29,36.3,27.8,75.9
14460,91,27,42.5,20.6,55.6,118,32,43.7,35.7,68.4
16879,110,24,43.5,34.6,84.0,106,16,41.3,30.8,78.3
19600,99,31,47.0,28.6,59.1,111,27,52.9,31.8,66.7
13185,114,26,47.8,31.3,78.3,110,25,42.7,32.4,82.1
18819,110,31,45.7,36.7,83.3,114,28,41.1,25.0,76.3
18624,123,27,52.3,48.0,91.3,103,30,43.7,43.3,70.0
20339,122,34,50.5,47.2,78.6,120,35,57.3,48.1,86.7
18223,101,25,44.3,30.8,85.2,121,42,50.0,37.5,76.2
18181,94,28,46.2,27.3,44.4,98,31,40.4,33.3,68.4
12863,107,22,46.9,29.0,91.7,118,23,53.2,40.0,77.4
18306,114,30,43.2,41.3,70.4,108,24,47.7,29.6,80.0
20409,118,28,46.3,35.7,71.4,126,37,56.8,35.0,90.5
18203,122,28,49.5,43.8,50.0,116,28,48.5,27.8,66.7
15441,106,31,40.9,34.2,77.8,120,30,46.8,46.2,100.0
18997,105,29,50.6,28.6,64.3,120,28,43.1,30.3,88.0
17216,91,21,45.2,21.2,66.7,95,24,44.3,55.6,83.3
17033,109,30,40.5,27.3,68.1,99,37,42.5,25.8,65.4
19432,94,23,43.5,33.3,76.9,100,27,46.8,39.1,68.0
18055,121,33,45.1,21.7,87.9,119,20,48.4,38.9,94.4
19354,101,20,39.2,28.6,91.7,106,27,46.3,38.1,75.9
14486,96,23,42.5,30.0,81.5,99,24,40.7,36.4,76.5
20327,106,23,45.7,38.9,60.0,101,28,41.2,31.6,76.0
17803,108,22,46.1,19.4,87.0,99,27,40.0,25.6,68.0
17425,132,37,50.0,41.7,79.3,95,32,42.1,23.3,92.3
18306,106,31,39.4,32.5,76.0,102,24,42.2,30.8,85.7
17724,114,27,46.9,25.9,70.8,126,28,51.6,45.8,84.0
14486,106,24,48.8,32.1,67.9,103,19,43.2,33.3,83.3
18624,111,26,41.4,37.5,93.3,115,29,44.6,36.4,85.3
19673,126,41,51.1,33.3,75.9,110,37,41.8,38.9,74.1
19629,120,40,50.0,36.7,90.0,111,30,45.7,36.4,75.0
19675,101,29,44.3,34.6,82.4,104,27,42.4,38.2,86.7
19068,122,34,47.7,37.9,93.1,108,21,39.8,22.2,86.7
18203,118,31,46.8,50.0,56.0,112,25,42.9,40.5,67.9
14542,111,22,48.1,47.2,87.0,125,25,53.5,38.5,72.0
18354,132,36,57.0,47.1,85.7,119,26,44.9,39.1,72.4
18055,103,18,47.5,33.3,71.4,98,34,40.2,28.6,58.8
20308,120,32,48.9,30.6,67.6,123,38,44.6,50.0,84.2
18852,97,26,42.9,26.9,75.0,106,25,46.4,36.4,88.9
18997,116,31,52.8,43.5,66.7,102,27,40.0,26.9,84.4
17923,100,22,42.6,40.0,80.0,132,40,54.1,41.9,81.3
13963,101,30,41.5,32.4,75.0,92,24,40.0,30.4,65.4
18624,112,32,45.0,32.5,90.0,104,26,37.9,38.2,81.3
12917,92,30,44.9,28.1,68.4,95,16,44.0,22.2,92.9
17382,118,25,48.2,37.0,92.9,123,32,50.6,29.4,86.2
19432,116,26,53.6,44.1,45.8,113,24,48.3,33.3,73.9
16341,117,35,43.1,34.1,83.3,126,32,53.8,42.9,73.1
14187,105,22,47.2,32.4,75.0,115,30,54.0,40.6,80.0
12726,122,20,44.7,28.6,70.0,117,19,50.0,32.1,73.7
18055,116,35,39.6,33.9,70.8,121,28,51.1,29.0,80.0
18121,126,33,47.0,44.1,85.0,124,33,60.0,44.8,78.9
18997,105,20,46.7,30.4,75.0,121,39,45.2,41.7,78.6
18842,90,20,41.0,23.1,71.4,114,24,53.6,39.5,81.8
18624,126,35,55.6,41.4,87.5,94,28,43.8,32.5,42.9
19600,89,21,38.2,28.6,69.2,105,31,51.3,42.1,81.0
13615,99,24,38.9,22.9,77.3,97,16,41.4,26.1,86.4
14211,99,26,41.6,41.7,76.9,105,29,47.2,30.0,63.2
15354,107,35,52.6,42.9,61.9,89,25,39.3,29.0,77.8
17583,135,32,54.5,31.4,76.2,113,31,44.2,34.8,84.0
